symbol,asset_class,entry_time,direction,pnl,winner,score,result,sig_adx,sig_dist_ema_atr,sig_rsi,sig_bb_percent,sig_macd_hist_slope,sig_vol_ratio,sig_atr_rank,sig_donchian_pos
BTC/USDT,CRYPTO,2026-04-16T20:00:00+00:00,LONG,199.0931622671684,1,5.0,TP,22.349886658726557,1.3981299866665315,51.94117519089789,0.838790567019761,0.210338522157301,0.8514664211123266,0.92,0.8600887226899088
BTC/USDT,CRYPTO,2026-04-17T23:00:00+00:00,LONG,-101.94256452535356,0,7.0,SL,55.39847283445742,2.402023294058917,63.59498210148172,0.6218449810478747,-0.1927466398137529,0.5148762778737013,0.71,0.6662149141846754
BTC/USDT,CRYPTO,2026-04-19T20:00:00+00:00,SHORT,-100.87430909320356,0,7.0,SL,31.534035143447408,-2.209959175527972,38.16837052947271,0.0194607844247751,-0.1437569583256663,0.9913553147034072,0.59,0.1116687716821191
BTC/USDT,CRYPTO,2026-04-20T15:00:00+00:00,LONG,198.4692828020836,1,5.937960674720521,TP,36.90107406705374,0.8939136653427396,68.51294341341654,1.030685858301172,0.0103651551828842,1.8797956903430717,0.76,0.9726861321708072
BTC/USDT,CRYPTO,2026-04-26T13:00:00+00:00,LONG,200.5990627647776,1,7.0,TP,42.507594950631365,1.243587215414555,60.70884354567483,0.725469768237822,-0.1538062928965772,1.0568458227968385,0.31,0.7714940809478307
BTC/USDT,CRYPTO,2026-04-26T21:00:00+00:00,LONG,-103.5764489712192,0,8.0,SL,43.268234439147214,2.029764933707572,59.91048834837783,0.946469081156146,0.0344351616720726,3.180815334797294,0.41,0.6674253130946076
BTC/USDT,CRYPTO,2026-04-26T22:00:00+00:00,LONG,202.7422515893791,1,7.0,TP,41.932200299348985,1.3753551553359191,58.6569454630618,0.8199603985310066,0.0145651269766773,2.0993686168141186,0.45,0.6038642022894029
BTC/USDT,CRYPTO,2026-04-27T15:00:00+00:00,SHORT,-104.31409096052802,0,8.0,SL,32.36260786920147,-2.657480245606977,13.082649258708884,-0.014998639276146,-0.0483666249921848,2.5794772333833,0.62,0.0783067986156971
BTC/USDT,CRYPTO,2026-04-29T16:00:00+00:00,SHORT,-103.19077671083856,0,7.0,SL,44.61102347822111,-2.3153772157060613,39.53916255803595,0.0309209514462607,-0.357986791277885,1.4116218549388186,0.88,0.0486282144150622
BTC/USDT,CRYPTO,2026-05-01T05:00:00+00:00,LONG,202.41615627411375,1,8.0,TP,52.06815170429349,2.2191412731304614,67.1821800458595,1.0468839718065983,0.1645262833739033,0.5853717836584349,0.1,0.8175790040888731
BTC/USDT,CRYPTO,2026-05-01T22:00:00+00:00,LONG,206.8107851000552,1,7.0,TP,70.60265706124623,2.034413068059176,60.621483621031885,0.6467567921643452,-0.1944180776411257,0.416332635160064,0.8,0.6775240985816421
BTC/USDT,CRYPTO,2026-05-04T06:00:00+00:00,LONG,-106.0252068481323,0,7.0,SL,53.4140550524158,2.260737845973089,67.18323542955972,0.7801559271119173,-0.0670219685074324,1.6532803529830706,0.99,0.6771497850108438
BTC/USDT,CRYPTO,2026-05-04T15:00:00+00:00,LONG,5.286436238092099,1,8.0,BREAK_EVEN,30.254385115588462,1.6686570701683523,53.14171252519007,0.7197086885433321,0.1614930733795475,2.118400124480915,0.98,0.7507057706769275
BTC/USDT,CRYPTO,2026-05-07T15:00:00+00:00,SHORT,-104.90422242984069,0,7.0,SL,29.7656270396542,-2.619311378513241,30.45365362423969,-0.151727885430733,-0.2327123077751531,2.591592016954077,0.45,0.095136399840701
BTC/USDT,CRYPTO,2026-05-09T22:00:00+00:00,LONG,17.919710859147386,1,7.0,BREAK_EVEN,39.01925314832924,1.7534003144766002,66.29666301874383,0.7832556564342231,-0.1418001015558836,0.6288272983877233,0.09,0.685058201058206
BTC/USDT,CRYPTO,2026-05-10T22:00:00+00:00,LONG,-103.79326157819622,0,7.988595555844769,SL,38.74279434189928,3.0184108529554856,68.4705817922931,1.2058334600919869,-0.0412359492213025,3.763608408117715,0.79,0.9326336150175188
