symbol,direction,pnl,winner,score,result,sig_adx,sig_dist_ema_atr,sig_rsi,sig_bb_percent,sig_macd_hist_slope,sig_vol_ratio,sig_atr_rank,sig_donchian_pos
BTC/USDT,LONG,199.0931622671684,1,5.0,TP,22.349886658726554,1.3981299866665315,51.94117519089789,0.838790567019761,0.21033852215730106,0.8514664211123266,0.92,0.8600887226899088
BTC/USDT,LONG,-101.94256452535357,0,7.0,SL,55.39847283445742,2.402023294058917,63.59498210148172,0.6218449810478747,-0.19274663981375292,0.5148762778737013,0.71,0.6662149141846754
BTC/USDT,SHORT,-100.87430909320356,0,7.0,SL,31.534035143447408,-2.2099591755279717,38.16837052947271,0.019460784424775154,-0.14375695832566632,0.9913553147034071,0.59,0.11166877168211913
BTC/USDT,LONG,198.4692828020836,1,5.937960674720521,TP,36.90107406705374,0.8939136653427396,68.51294341341654,1.030685858301172,0.010365155182884294,1.8797956903430713,0.76,0.9726861321708071
BTC/USDT,LONG,200.59906276477759,1,7.0,TP,42.507594950631365,1.243587215414555,60.70884354567483,0.725469768237822,-0.15380629289657724,1.0568458227968383,0.31,0.7714940809478307
BTC/USDT,LONG,-103.5764489712192,0,8.0,SL,43.268234439147214,2.029764933707572,59.91048834837783,0.9464690811561461,0.03443516167207267,3.180815334797294,0.41,0.6674253130946076
BTC/USDT,LONG,202.7422515893791,1,7.0,TP,41.932200299348985,1.3753551553359193,58.6569454630618,0.8199603985310066,0.014565126976677365,2.0993686168141186,0.45,0.6038642022894029
BTC/USDT,SHORT,-104.31409096052802,0,8.0,SL,32.36260786920147,-2.6574802456069775,13.082649258708884,-0.014998639276146006,-0.048366624992184894,2.5794772333832996,0.62,0.07830679861569717
BTC/USDT,SHORT,-103.19077671083856,0,7.0,SL,44.61102347822111,-2.3153772157060613,39.53916255803595,0.030920951446260787,-0.357986791277885,1.4116218549388186,0.88,0.04862821441506225
BTC/USDT,LONG,202.41615627411377,1,8.0,TP,52.068151704293484,2.2191412731304614,67.1821800458595,1.0468839718065985,0.1645262833739033,0.5853717836584349,0.1,0.8175790040888731
BTC/USDT,LONG,206.81078510005517,1,7.0,TP,70.60265706124623,2.034413068059176,60.621483621031885,0.6467567921643452,-0.19441807764112573,0.416332635160064,0.8,0.6775240985816421
BTC/USDT,LONG,-106.0252068481323,0,7.0,SL,53.4140550524158,2.260737845973089,67.18323542955972,0.7801559271119173,-0.06702196850743247,1.6532803529830706,0.99,0.6771497850108438
BTC/USDT,LONG,5.286436238092099,1,8.0,BREAK_EVEN,30.254385115588462,1.6686570701683525,53.141712525190066,0.7197086885433321,0.16149307337954752,2.118400124480915,0.98,0.7507057706769275
